Region.Label,Area,Sample.Label,object,Effort,Census,distance,dist
Kal.Mara,580,24,52,3,2,10,2
Kal.Mara,580,24,53,3,2,13,3
Kal.Mara,580,25,54,3.16,2,6,2
Kal.Mara,580,25,55,3.16,2,9,2
Kal.Mara,580,25,56,3.16,2,23,5
Kal.Mara,580,26,NA,3.037,,NA,
Kal.Mara,580,27,57,3.038,3,12,3
Kal.Mara,580,27,58,3.038,3,18,4
Kal.Mara,580,28,59,3,2,2,1
Kal.Mara,580,28,60,3,2,4,1
Kal.Mara,580,28,61,3,2,6,2
Kal.Mara,580,28,62,3,3,5,1
Kal.Mara,580,28,63,3,3,7,2
Kal.Mara,580,29,64,3.05,3,22,5
Kal.Mara,580,29,65,3.05,3,29,6
Kal.Mara,580,30,66,3.003,2,7,2
Kal.Mara,580,31,67,3.173,3,25,5
Kal.Mara,580,31,68,3.173,2,6,2
Kal.Mara,580,31,69,3.173,2,7,2
Kal.Mara,580,31,70,3.173,2,9,2
Kal.Mara,580,31,71,3.173,2,10,2
Kal.Mara,580,31,72,3.173,2,11,3
Kal.Mara,580,31,73,3.173,2,15,3
Kal.Mara,580,32,74,3,2,17,4
Kal.Mara,580,33,75,3.02,3,4,1
Kal.Mara,580,33,76,3.02,3,8,2
Kal.Mara,580,33,77,3.02,3,15,3
Kal.Mara,580,33,78,3.02,3,15,3
Kal.Mara,580,33,79,3.02,3,18,4
Kal.Mara,580,33,80,3.02,3,20,4
Kal.Mara,580,34,NA,3,,NA,
Kal.Mara,580,35,81,3.02,2,2,1
Kal.Mara,580,35,82,3.02,2,4,1
Kal.Mara,580,35,83,3.02,2,7,2
Kal.Mara,580,35,84,3.02,2,14,3
Kal.Mara,580,35,85,3.02,2,16,4
Kal.Mara,580,35,86,3.02,2,17,4
Kal.Mara,580,35,87,3.02,2,30,6
Kal.Mara,580,36,88,3.291,2,6,2
Kal.Mara,580,36,89,3.291,2,7,2
Kal.Mara,580,36,90,3.291,2,8,2
Kal.Mara,580,36,91,3.291,2,10,2
Kal.Mara,580,36,92,3.291,2,12,3
Kal.Mara,580,36,93,3.291,2,15,3
Kal.Mara,580,36,94,3.291,2,15,3
Kal.Mara,580,36,95,3.291,3,4,1
Kal.Mara,580,36,96,3.291,3,8,2
Kal.Mara,580,36,97,3.291,3,10,2
Kal.Mara,580,36,98,3.291,3,15,3
Kal.Mara,580,37,99,3.02,3,7,2
Kal.Mara,580,37,100,3.02,3,10,2
Kal.Mara,580,37,101,3.02,3,12,3
Kal.Mara,580,37,102,3.02,2,3,1
Kal.Mara,580,37,103,3.02,2,10,2
Kal.Mara,580,37,104,3.02,2,13,3
Kal.Mara,580,37,105,3.02,2,13,3
Kal.Mara,580,37,106,3.02,2,15,3
Kal.Mara,580,38,107,3.01,2,1,1
Kal.Mara,580,38,108,3.01,2,2,1
Kal.Mara,580,38,109,3.01,2,3,1
Kal.Mara,580,38,110,3.01,2,4,1
Kal.Mara,580,38,111,3.01,2,5,1
Kal.Mara,580,38,112,3.01,2,3,1
Kal.Mara,580,38,113,3.01,2,4,1
Kal.Mara,580,38,114,3.01,2,5,1
Kal.Mara,580,38,115,3.01,2,6,2
Kal.Mara,580,38,116,3.01,2,8,2
Kal.Mara,580,38,117,3.01,2,10,2
Kal.Mara,580,38,118,3.01,2,11,3
Kal.Mara,580,38,119,3.01,2,12,3
Kal.Mara,580,38,120,3.01,2,10,2
Kal.Mara,580,38,121,3.01,2,11,3
Kal.Mara,580,38,122,3.01,2,12,3
Kal.Mara,580,38,123,3.01,2,16,4
Kal.Mara,580,38,124,3.01,2,17,4
Kal.Mara,580,38,125,3.01,2,19,4
Kal.Mara,580,38,126,3.01,3,1,1
Kal.Mara,580,38,127,3.01,3,1,1
Kal.Mara,580,38,128,3.01,3,5,1
Kal.Mara,580,38,129,3.01,3,9,2
Kal.Mara,580,38,130,3.01,3,9,2
Kal.Mara,580,38,131,3.01,3,16,4
Kal.Mara,580,38,132,3.01,3,18,4
Kal.Mara,580,38,133,3.01,3,21,5
Kal.Mara,580,38,134,3.01,3,21,5
Kal.Mara,580,38,135,3.01,3,31,7
Kal.Mara,580,39,136,3.06,2,2,1
Kal.Mara,580,39,137,3.06,2,4,1
Kal.Mara,580,39,138,3.06,2,4,1
Kal.Mara,580,39,139,3.06,2,4,1
Kal.Mara,580,39,140,3.06,2,5,1
Kal.Mara,580,39,141,3.06,2,5,1
Kal.Mara,580,39,142,3.06,2,6,2
Kal.Mara,580,39,143,3.06,2,6,2
Kal.Mara,580,39,144,3.06,2,7,2
Kal.Mara,580,39,145,3.06,2,8,2
Kal.Mara,580,39,146,3.06,2,9,2
Kal.Mara,580,39,147,3.06,2,11,3
Kal.Mara,580,40,148,3,2,3,1
Kal.Mara,580,40,149,3,2,7,2
Kal.Mara,580,40,150,3,2,8,2
Kal.Mara,580,40,151,3,2,9,2
Kal.Mara,580,40,152,3,2,11,3
Kal.Mara,580,40,153,3,2,13,3
Kal.Mara,580,40,154,3,2,17,4
Kal.Mara,580,40,155,3,2,18,4
Kal.Mara,580,40,156,3,2,21,5
Kal.Mara,580,40,157,3,2,1,1
Kal.Mara,580,40,158,3,2,1,1
Kal.Mara,580,41,159,3.04,2,2,1
Kal.Mara,580,41,160,3.04,2,7,2
Kal.Mara,580,41,161,3.04,2,9,2
Kal.Mara,580,41,162,3.04,2,11,3
Kal.Mara,580,41,163,3.04,2,13,3
Kal.Mara,580,41,164,3.04,3,8,2
Kal.Mara,580,41,165,3.04,3,8,2
Kal.Mara,580,41,166,3.04,3,13,3
Kal.Mara,580,42,NA,3.02,,NA,
Kal.Mara,580,43,167,3,2,2,1
Kal.Mara,580,43,168,3,2,3,1
Kal.Mara,580,43,169,3,2,3,1
Kal.Mara,580,43,170,3,2,4,1
Kal.Mara,580,43,171,3,2,4,1
Kal.Mara,580,43,172,3,2,4,1
Kal.Mara,580,43,173,3,2,4,1
Kal.Mara,580,43,174,3,2,5,1
Kal.Mara,580,43,175,3,2,5,1
Kal.Mara,580,43,176,3,2,5,1
Kal.Mara,580,43,177,3,2,6,2
Kal.Mara,580,43,178,3,2,6,2
Kal.Mara,580,43,179,3,2,6,2
Kal.Mara,580,43,180,3,2,7,2
Kal.Mara,580,43,181,3,2,7,2
Kal.Mara,580,43,182,3,2,7,2
Kal.Mara,580,43,183,3,2,8,2
Kal.Mara,580,43,184,3,2,8,2
Kal.Mara,580,43,185,3,3,9,2
Kal.Mara,580,43,186,3,3,15,3
Kal.Mara,580,44,187,3,2,1,1
Kal.Mara,580,44,188,3,2,1,1
Kal.Mara,580,44,189,3,2,2,1
Kal.Mara,580,44,190,3,2,3,1
Kal.Mara,580,44,191,3,2,4,1
Kal.Mara,580,44,192,3,2,5,1
Kal.Mara,580,44,193,3,2,6,2
Kal.Mara,580,44,194,3,2,6,2
Kal.Mara,580,44,195,3,2,8,2
Kal.Mara,580,44,196,3,2,9,2
Kal.Mara,580,44,197,3,2,9,2
Kal.Mara,580,44,198,3,2,9,2
Kal.Mara,580,44,199,3,2,10,2
Kal.Mara,580,44,200,3,2,10,2
Kal.Mara,580,44,201,3,2,12,3
Kal.Mara,580,44,202,3,2,15,3
Kal.Mara,580,44,203,3,2,17,4
Kal.Mara,580,44,204,3,2,17,4
Kal.Mara,580,44,205,3,2,20,4
Kal.Mara,580,44,206,3,2,21,5
Kal.Mara,580,45,207,3.065,3,7,2
Kal.Mara,580,45,208,3.065,2,15,3
Kal.Mara,580,46,209,3.065,2,1,1
Kal.Mara,580,46,210,3.065,2,10,2
Kal.Mara,580,46,211,3.065,3,3,1
Kal.Mara,580,46,212,3.065,3,7,2
Kal.Mara,580,46,213,3.065,3,11,3
Kal.Mara,580,46,214,3.065,3,11,3
Kal.Mara,580,46,215,3.065,3,13,3
Kal.Mara,580,46,216,3.065,3,17,4
Kal.Mara,580,46,217,3.065,3,18,4
Kal.Mara,580,46,218,3.065,3,19,4
Kal.Mara,580,46,219,3.065,3,25,5
