Region.Label,Area,Sample.Label,object,Effort,distance,dist
Kalinzu,137,43,206,3,5,1
Kalinzu,137,43,207,3,6,2
Kalinzu,137,43,208,3,6,2
Kalinzu,137,43,209,3,7,2
Kalinzu,137,43,210,3,7,2
Kalinzu,137,43,211,3,7,2
Kalinzu,137,43,212,3,7,2
Kalinzu,137,43,213,3,7,2
Kalinzu,137,43,214,3,7,2
Kalinzu,137,43,215,3,7,2
Kalinzu,137,43,216,3,7,2
Kalinzu,137,43,217,3,7,2
Kalinzu,137,43,218,3,8,2
Kalinzu,137,43,219,3,8,2
Kalinzu,137,43,220,3,8,2
Kalinzu,137,43,221,3,8,2
Kalinzu,137,43,222,3,9,2
Kalinzu,137,43,223,3,9,2
Kalinzu,137,43,224,3,10,2
Kalinzu,137,43,225,3,10,2
Kalinzu,137,43,226,3,10,2
Kalinzu,137,43,227,3,10,2
Kalinzu,137,43,228,3,10,2
Kalinzu,137,43,229,3,10,2
Kalinzu,137,43,230,3,10,2
Kalinzu,137,43,231,3,10,2
Kalinzu,137,43,232,3,10,2
Kalinzu,137,43,233,3,10,2
Kalinzu,137,43,234,3,10,2
Kalinzu,137,43,235,3,10,2
Kalinzu,137,43,236,3,10,2
Kalinzu,137,43,237,3,10,2
Kalinzu,137,43,238,3,11,3
Kalinzu,137,43,239,3,11,3
Kalinzu,137,43,240,3,11,3
Kalinzu,137,43,241,3,12,3
Kalinzu,137,43,242,3,13,3
Kalinzu,137,43,243,3,13,3
Kalinzu,137,43,244,3,14,3
Kalinzu,137,43,245,3,15,3
Kalinzu,137,43,246,3,15,3
Kalinzu,137,43,247,3,15,3
Kalinzu,137,43,248,3,17,4
Kalinzu,137,44,249,3,4,1
Kalinzu,137,44,250,3,5,1
Kalinzu,137,44,251,3,7,2
Kalinzu,137,44,252,3,8,2
Kalinzu,137,44,253,3,9,2
Kalinzu,137,44,254,3,10,2
Kalinzu,137,44,255,3,10,2
Kalinzu,137,44,256,3,20,4
Kalinzu,137,44,257,3,0,1
Kalinzu,137,45,258,2.82,5,1
Kalinzu,137,45,259,2.82,7,2
Kalinzu,137,45,260,2.82,8,2
Kalinzu,137,45,261,2.82,10,2
Kalinzu,137,45,262,2.82,10,2
Kalinzu,137,45,263,2.82,11,3
Kalinzu,137,45,264,2.82,12,3
Kalinzu,137,45,265,2.82,18,4
Kalinzu,137,45,266,2.82,18,4
Kalinzu,137,46,267,3.011,2,1
Kalinzu,137,46,268,3.011,7,2
Kalinzu,137,46,269,3.011,9,2
Kalinzu,137,46,270,3.011,10,2
Kalinzu,137,46,271,3.011,10,2
Kalinzu,137,46,272,3.011,10,2
Kalinzu,137,46,273,3.011,10,2
Kalinzu,137,46,274,3.011,11,3
Kalinzu,137,46,275,3.011,17,4
Kalinzu,137,46,276,3.011,18,4
Kalinzu,137,46,277,3.011,19,4
Kalinzu,137,46,278,3.011,20,4
Kalinzu,137,46,279,3.011,22,5
Kalinzu,137,46,280,3.011,22,5
Kalinzu,137,46,281,3.011,22,5
Kalinzu,137,46,282,3.011,26,6
